Vị trí,IP_Camera,Vị trí camera trên đầu ghi,Vị trí Camera
Cửa tay quay,192.168.20.50,D18,Cửa tay quay B2 ZB P05
Cửa tay quay,192.168.20.53,D19,Cửa tay quay B2 ZA P05
Cửa tay quay,192.168.20.54,D20,Cửa tay quay B1 ZB P05
Cửa tay quay,192.168.20.57,D21,Cửa tay quay B1 ZA P05
Cửa tay quay,192.168.20.30,D22,Cửa tay quay B1 ZA P03
Cửa tay quay,192.168.20.34,D23,Cửa tay quay B1 ZB P03
Cửa tay quay,192.168.20.33,D24,Cửa tay quay B2 ZA P03
Cửa tay quay,192.168.20.36,D25,Cửa tay quay B2 ZB P03
Cửa tay quay,192.168.20.23,D26,Cửa tay quay B2 ZA P02
Cửa tay quay,192.168.20.26,D27,Cửa tay quay B2 ZB P02
Cửa tay quay,192.168.20.20,D28,Cửa tay quay B1 ZA P02
Cửa tay quay,192.168.20.24,D29,Cửa tay quay B1 ZB P02
Cửa tay quay,192.168.20.12,D30,Cửa tay quay B2 ZB P01
Cửa tay quay,192.168.20.14,D31,Cửa tay quay B1 ZB P01
Cửa tay quay,192.168.20.16,D32,Cửa tay quay B2 ZB P01
Cửa tay quay,192.168.20.60,D1,Cửa tay quay B1 ZA P06
Cửa tay quay,192.168.20.63,D4,Cửa tay quay B2 ZA P06
Cửa tay quay,192.168.20.64,D5,Cửa tay quay B1 ZB P06
Cửa tay quay,192.168.20.80,D7,Cửa tay quay B1 ZA P08
Cửa tay quay,192.168.20.67,D8,Cửa tay quay B2 ZB P06
Cửa tay quay,192.168.20.70,D11,Cửa tay quay B1 ZA P07
Cửa tay quay,192.168.20.73,D14,Cửa tay quay B2 ZA P07
Cửa tay quay,192.168.20.74,D15,Cửa tay quay B1 ZB P07
Cửa tay quay,192.168.20.84,D17,Cửa tay quay B1 ZB P08
Cửa tay quay,192.168.20.77,D18,Cửa tay quay B2 ZB P07
Cửa tay quay,192.168.20.83,D19,Cửa tay quay B2 ZA P08
Cửa tay quay,192.168.20.87,D22,Cửa tay quay B2 ZB P08
Hầm B1 PH1,192.168.11.41,D1,13F hầm B1
Hầm B1 PH1,192.168.11.40,D2,07F hầm B1
Hầm B1 PH1,192.168.11.39,D3,11E hầm B1
Hầm B1 PH1,192.168.11.38,D4,13P hầm B1
Hầm B1 PH1,192.168.11.37,D5,17-18R hầm B1
Hầm B1 PH1,192.168.11.36,D6,10Q hầm B1
Hầm B1 PH1,192.168.11.35,D7,14T hầm B1
Hầm B1 PH1,192.168.11.34,D8,13F hầm B1
Hầm B1 PH1,192.168.11.33,D9,Trục 17-18 hầm B1
Hầm B1 PH1,192.168.11.32,D10,25H hầmB1
Hầm B1 PH1,192.168.11.31,D11,16T hầm B1
Hầm B1 PH1,192.168.11.30,D12,01G hầm B1
Hầm B1 PH1,192.168.11.29,D13,15N hầm B1
Hầm B1 PH1,192.168.11.28,D14,23A hầm B1
Hầm B1 PH1,192.168.11.27,D15,16K hầm B1
Hầm B1 PH1,192.168.11.26,D16,06N hầm B1
Hầm B1 PH1,192.168.11.25,D17,22A hầm B1
Hầm B1 PH1,192.168.11.24,D18,17C hầm B1
Hầm B1 PH1,192.168.11.23,D19,03Q hầm B1
Hầm B1 PH1,192.168.11.22,D20,04U hầm B1
Hầm B1 PH1,192.168.11.21,D21,07N hầm B1
Hầm B1 PH1,192.168.11.20,D22,15C-D hầm B1
Hầm B1 PH1,192.168.11.19,D23,03T Hầm B1
Hầm B1 PH1,192.168.11.18,D24,02Q hầm B1
Hầm B1 PH1,192.168.11.17,D25,18E hầm B1
Hầm B1 PH1,192.168.11.15,D26,01A hầm B1
Hầm B1 PH1,192.168.11.14,D27,04B hầm B1
Hầm B1 PH1,192.168.11.13,D28,21C hầm B1
Hầm B1 PH1,192.168.11.12,D29,Cửa Galaxy hầm B1 ZB P01
Hầm B1 PH1,192.168.11.11,D30,09N hầm B1
Hầm B1 PH1,192.168.11.10,D31,15-16F hầm B1
Hầm B1 PH1,192.168.11.73,D1,10Z hầm B1
Hầm B1 PH1,192.168.11.72,D2,11Z hầm B1
